2022년 12월 22일 목요일
	번호	곡명	가수	설명	
	1	s'Rothe-Zauerli (B기도문)	Ose Schuppel		
	2	Tell Me It's Not Over (타이틀 뮤직)	Starsailor		
	3	Science Fiction / Double Feature	Richard O'Brien		
	4	Figures	The Whitest Boy Alive		
	5	잠은 안오고 배는 고프고	나인뮤지스		
	6	Everything (Feat. John Legend)	Ella Mai		
	7	If You Leave Me Now	Chicago		
	8	My One And Only Love (Album Version)	Rickie Lee Jones		
	9	モラトリアム (모라토리엄, Moratorium)	Omoinotake		
	10	엘가: 사랑의 인사, 작품번호 12	정경화, Phillip Moll		
	11	Side 4, Pt. 4: Louder Than Words	Pink Floyd		
