2023년 9월 20일 수요일
	번호	곡명	가수	설명	
	1	s'Rothe-Zauerli (B기도문)	Ose Schuppel		
	2	Tell Me It's Not Over (타이틀 뮤직)	Starsailor		
	3	VIEWS	Noga Erez, Reo Cragun, ROUSSO		
	4	Lush Life (B의 곡)	Eddie Higgins Trio		
	5	Uneasy (Feat. Lil Wayne)	Jon Batiste		
	6	Flight of Icarus (2015 Remaster)	Iron Maiden		
	7	무지개섬을 향해 영차! (이스터에그를 찾아라)	내 마음은 무지		
	8	Go Ahead (Feat. Fabolous, Flo Rida, Fat Joe, Rick Ross & Lloyd) (이스터에그를 찾아라)	DJ Khaled		
	9	Let Somebody Go	Coldplay, Selena Gomez		
	10	빛 (Light)	라이프 앤 타임		
	11	Bongo Bong	Manu Chao		
	12	Mozart: Requiem in D Minor, K. 626: XII. Benedictus	Riccardo Muti, Berliner Philharmoniker		
