2021년 7월 12일 월요일
	번호	곡명	가수	설명	
	1	s'Rothe-Zauerli (B기도문)	Ose Schuppel		
	2	Tell Me It's Not Over (타이틀 뮤직)	Starsailor		
	3	Beethoven : Symphony No.5 In C Minor Op.67 'Fate' - I. Allegro Con Brio (베토벤 : 교향곡 5번 다단조 작품번호 67 '운명' - 1악장)	Carlos Kleiber, Wiener Philharmoniker		
	4	Hit Me Back (Feat. Blackbear)	Jacob Sartorius		
	5	Love You Better	Echosmith		
	6	Told You So	Christopher		
	7	Vitali : Chaconne In G Minor (비탈리 : 샤콘느 사단조)	임지영, 임동혁		
	8	Iron Sky	Paolo Nutini		
	9	Name (Feat. Tori Kelly)	Justin Bieber		
	10	비창	이상우		
