2024년 4월 22일 월요일
	번호	곡명	가수	설명	
	1	s'Rothe-Zauerli (B기도문)	Ose Schuppel		
	2	Tell Me It's Not Over (타이틀 뮤직)	Starsailor		
	3	Blinding Lights	The Weeknd		
	4	Pull Up To The Bumper (B의 곡)	Grace Jones		
	5	불면	이장혁		
	6	人が夢を見るといふ事 ~Black Skyline~ / Hitoga Yumewo Miruto Iu Koto ~Black Skyline~ (사람이 꿈을 꾼다는 것 ~Black Skyline~)	PE'Z		
	7	Once Upon A Time In The West (Live At Hammersmith Odeon, London/1983) (노래가 긴 게 죄는 아니야)	Dire Straits		
	8	후회	윤상		
	9	Hate Everything	지소울 (GSoul)		
	10	Bewitched (Bothered And Bewildered)	조윤성 & 마리아 킴		
