2021년 6월 1일 화요일
	번호	곡명	가수	설명	
	1	s'Rothe-Zauerli (B기도문)	Ose Schuppel		
	2	Tell Me It's Not Over (타이틀 뮤직)	Starsailor		
	3	New Avengers - Avengers: Age of Ultron (From "Avengers: Age of Ultron"/Score)	Danny Elfman		
	4	A Call To Arms	Beirut		
	5	Nantes	Beirut		
	6	바다가 들려 (Hear The Sea)	Red Velvet (레드벨벳)		
	7	Asayake	Casiopea		
	8	Puff, The Magic Dragon	Peter, Paul & Mary		
	9	Mia & Sebastian’s Theme	Justin Hurwitz		
	10	Don’t Smoke In Bed	Diana Krall		
	11	Rocky Dennis Farewell Song to the Blind Girl	Jens Lekman		
