2023년 3월 17일 금요일
	번호	곡명	가수	설명	
	1	s'Rothe-Zauerli (B기도문)	Ose Schuppel		
	2	Tell Me It's Not Over (타이틀 뮤직)	Starsailor		
	3	Confidence	지소울 (GSoul)		
	4	Richter: Recomposed By Max Richter: Vivaldi, The Four Seasons - Spring 0	Max Richter, Konzerthaus Kammerorchester Berlin, Andre De Ridder		
	5	Richter : Recomposed By Max Richter: Vivaldi, The Four Seasons - Spring 1	Daniel Hope, Max Richter, Konzerthaus Kammerorchester Berlin, Andre De Ridder		
	6	Richter: Recomposed By Max Richter: Vivaldi, The Four Seasons - Spring 2	Max Richter, Daniel Hope, Raphael Alpermann, Konzerthaus Kammerorchester Berlin, Andre De Ridder		
	7	Richter: Recomposed By Max Richter: Vivaldi, The Four Seasons - Spring 3	Max Richter, Daniel Hope, Raphael Alpermann, Konzerthaus Kammerorchester Berlin, Andre De Ridder		
	8	아가에게	송골매		
	9	커다란	민수		
	10	Sit Down (공부하면 더 재밌어)	James		
	11	The Only One I Know (공부하면 더 재밌어)	The Charlatans		
	12	Red Flags	Mimi Webb		
	13	대니 INTRO	보수동쿨러		
	14	대니	보수동쿨러		
