2024년 1월 16일 화요일
	번호	곡명	가수	설명	
	1	s'Rothe-Zauerli (B기도문)	Ose Schuppel		
	2	Tell Me It's Not Over (타이틀 뮤직)	Starsailor		
	3	Fought & Lost (feat. Brian May)	Sam Ryder		
	4	어제의 기억으로 (B의 곡)	윤상		
	5	God Put A Smile Upon Your Face (Feat. The Daptone Horns)	Mark Ronson		
	6	Love Proceeding (Feat. Arthur Verocai)	BADBADNOTGOOD		
	7	Take Me To Church (마음의 소리)	Hozier		
	8	Any Other Fool (feat. Patti Austin) [2017 Remaster]	Sadao Watanabe		
	9	Teddy Bear Rises	우효		
	10	Saw You in a Dream	The Japanese House		
	11	밀실의 선풍기	신박서클 (SB Circle)		
