2021년 1월 18일 월요일
	번호	곡명	가수	설명	
	1	s'Rothe-Zauerli (B기도문)	Ose Schuppel		
	2	Tell Me It's Not Over (타이틀 뮤직)	Starsailor		
	3	영원한 친구	나미		
	4	Back At Your Door (Album Ver.)	Maroon 5		
	5	Chasing Fire	Lauv		
	6	1000 Miles Per Hour	Ok Go		
	7	Scene One : Regression	Dream Theater		
	8	Scene Two :Ⅰ. Overture 1928 (Inst.)	Dream Theater		
	9	Scene Two :Ⅱ. Strange Deja Vu	Dream Theater		
	10	Scene Three :Ⅰ. Through My Words	Dream Theater		
	11	I Get it From You	Till Brönner & Bob James		
	12	Little Bird	Lisa Hannigan		
	13	손	이승환		
