2023년 12월 9일 토요일
	번호	곡명	가수	설명	
	1	s'Rothe-Zauerli (B기도문)	Ose Schuppel		
	2	Tell Me It's Not Over (타이틀 뮤직)	Starsailor		
	3	Rocky Ground	Bruce Springsteen		
	4	Sweet Painted Lady (B의 곡)	Elton John		
	5	불면	얼바노		
	6	Database (Feat. TAKUMA)	Man With A Mission		
	7	Mozart: 모차르트: 디베르티멘토 제17번 라장조 K.334 - 오케스트라 버전 - 3. Menuetto - Trio - Menuetto (빵으로 하시겠습니까 라이스로 하시겠습니까)	Berliner Philharmoniker, Herbert Von Karajan		
	8	Dear My Girlfriend	Wittgenstein		
	9	Burn	David Kushner		
	10	안녕 (You & I)	SHINee (샤이니)		
	11	Vulnerable	Adam Blackstone, The Baylor Project		
