2024년 2월 2일 금요일
	번호	곡명	가수	설명	
	1	s'Rothe-Zauerli (B기도문)	Ose Schuppel		
	2	Tell Me It's Not Over (타이틀 뮤직)	Starsailor		
	3	잘했군 잘했어	하춘화, 고봉산		
	4	Haunting Me (Feat. Marcus Miller, Randy Goodrum) (B의 곡)	Dave Grusin		
	5	Night Watch	Savoy		
	6	Superstar (behind The Scene) (Feat. Tiger JK, Sean2Slow, DJ Tukutz)	다이나믹 듀오		
	7	Live With Me (공부하면 더 재밌어)	Massive Attack		
	8	Hell Is Round The Corner (공부하면 더 재밌어)	Tricky, Martina Topley Bird		
	9	Next Time (I Fall)	Bobby Caldwell		
	10	The Midnight Train	Anthony Lazaro		
	11	River	임미정 (Lim Mi Jung)		
