2023년 11월 24일 금요일
	번호	곡명	가수	설명	
	1	s'Rothe-Zauerli (B기도문)	Ose Schuppel		
	2	Tell Me It's Not Over (타이틀 뮤직)	Starsailor		
	3	White Christmas	Bing Crosby, Pentatonix, London Symphony Orchestra		
	4	Stranger Than Heaven (B의 곡)	넥스트		
	5	24	급한노새		
	6	Dancing In The Moonlight	OhashiTrio		
	7	That's Life (공부하면 더 재밌어)	Frank Sinatra		
	8	Love Theme From "The Godfather" (Speak Softly Love) (공부하면 더 재밌어)	Andy Williams		
	9	In The Ghetto (공부하면 더 재밌어)	Elvis Presley		
	10	조각 구름	카더가든		
	11	Always Gonna Love You	Gary Moore		
	12	Altitudes	Jason Becker		
