2022년 10월 22일 토요일
	번호	곡명	가수	설명	
	1	s'Rothe-Zauerli (B기도문)	Ose Schuppel		
	2	Tell Me It's Not Over (타이틀 뮤직)	Starsailor		
	3	The Night We Met (Feat. Phoebe Bridgers)	Lord Huron		
	4	Something To Believe In	King Creosote		
	5	In My City	솔루션스 (THE SOLUTIONS)		
	6	Neon Sky	Starsailor		
	7	Mozart : 12 Variations On 'Ah, Vous Dirai-Je Maman' In C Major K.265 (모차르트 : 반짝 반짝 작은 별 주제에 의한 12개의 변주곡 다장조)	Aldo Ciccolini		
	8	창밖에는 비오고요	송창식		
	9	Avenue	Agnes Obel		
	10	Histoire du tango: II. Cafe 1930	Alison Balsom		
