2024년 2월 6일 화요일
	번호	곡명	가수	설명	
	1	s'Rothe-Zauerli (B기도문)	Ose Schuppel		
	2	Tell Me It's Not Over (타이틀 뮤직)	Starsailor		
	3	Mother Nature	Christian Wunderlich		
	4	When A Man Loves A Woman / It's A Man's Man's Man's World (B의 곡)	Michael Bolton, Seal		
	5	1999	Hitsujibungaku		
	6	No Light, No Light	Florence + The Machine		
	7	We Didn't Start the Fire (마음의 소리)	Billy Joel		
	8	숲	시인과 촌장		
	9	girl in red	알레프 (ALEPH)		
	10	Estrella	Presuntos Implicados		
	11	Starbrite (Remastered 2007/Rudy Van Gelder Edition)	Duke Jordan		
