2024년 1월 27일 토요일
	번호	곡명	가수	설명	
	1	s'Rothe-Zauerli (B기도문)	Ose Schuppel		
	2	Tell Me It's Not Over (타이틀 뮤직)	Starsailor		
	3	No Sense (Feat. Travis Scott)	Justin Bieber		
	4	Yolla (B의 곡)	Tarkan		
	5	Dancin'	Neon Valley		
	6	Miss You (Feat. Melody & Yamamoto Ryouhei)	m-flo		
	7	Brahms : Symphony No.3 In F Major Op.90 - III. Poco Allegretto (브람스 : 교향곡 3번 바장조 작품번호 90 - 3악장)	Berliner Philharmoniker, Herbert Von Karajan		
	8	Good People	Mumford & Sons, Pharrell Williams		
	9	바카미타이 (용과같이ost) / 다메다네 	다나카(TANAKA)		
	10	Lower Your Eyelids To Die With the Sun	M83, Anthony Gonzalez, Antoine Gaillet		
