2021년 2월 28일 일요일
	번호	곡명	가수	설명	
	1	s'Rothe-Zauerli (B기도문)	Ose Schuppel		
	2	Tell Me It's Not Over (타이틀 뮤직)	Starsailor		
	3	It's Such a Good Night	Heisenberg & The Albuquerque Kingpins		
	4	I Love You	Celine Dion		
	5	Stop Crying Your Heart Out	Oasis		
	6	Returning Home	라이프 앤 타임		
	7	Beethoven : Piano Sonata No.8 In C Minor, Op.13 -'Pathetique' - 1. Grave - Allegro Di Molto E Con Brio 	Wilhelm Kempff		
	8	베토벤: 피아노 소나타 8번 다단조 작품번호 13 "비창": 2. Adagio cantabile	Wilhelm Kempff		
	9	일종의 고백	이영훈		
	10	작은 물고기 큰 바다	디어 재즈 오케스트라		
