2023년 12월 1일 금요일
	번호	곡명	가수	설명	
	1	s'Rothe-Zauerli (B기도문)	Ose Schuppel		
	2	Tell Me It's Not Over (타이틀 뮤직)	Starsailor		
	3	Brave	Sara Bareilles		
	4	Beautiful People (B의 곡)	Pet Shop Boys		
	5	Last Smile (Extension Mix)	LOVE PSYCHEDELICO(러브 사이키델리코)		
	6	Carry Me (tvN 드라마 '라이브' 삽입곡)	Family Of The Year		
	7	Get Up (I Feel Like Being A) Sex Machine (Pts. 1 & 2) (공부하면 더 재밌어)	James Brown		
	8	Getaway (공부하면 더 재밌어)	Earth, Wind & Fire		
	9	Heaven Express(again)	BrokenTeeth		
	10	Cool About It	boygenius		
	11	격외선당 (Dharma's Best Shrine)	최소리		
