2023년 2월 28일 화요일
	번호	곡명	가수	설명	
	1	s'Rothe-Zauerli (B기도문)	Ose Schuppel		
	2	Tell Me It's Not Over (타이틀 뮤직)	Starsailor		
	3	Real Life	Christopher		
	4	Mykonos	Fleet Foxes		
	5	Luck Be A Lady	Seal		
	6	Don't Shoot Shot Gun (Remastered 2017)	Def Leppard		
	7	Supreme (마음의 소리)	Robbie Williams		
	8	#2 칼	쓰다 (Xeuda)		
	9	Life In A Glass House	Radiohead		
	10	I'm Finally a Ghost	해파		
	11	Rodrigo: Concierto Andaluz for 4 Guitars and Orchestra - 1. Tiempo de Bolero	Academy of St. Martin in the Fields, Sir Neville Marriner, Los Romeros		
