2023년 9월 1일 금요일
	번호	곡명	가수	설명	
	1	s'Rothe-Zauerli (B기도문)	Ose Schuppel		
	2	Tell Me It's Not Over (타이틀 뮤직)	Starsailor		
	3	Happiness Is A Warm Gun (From "Across The Universe" Soundtrack) (Feat. Salma Hayek)	Joe Anderson		
	4	위성왕자 (B의 곡)	차세대		
	5	끝없이 우리는	Adios Audio		
	6	Wish	Jun Miyake		
	7	Pluto Projector (공부하면 더 재밌어)	Rex Orange County		
	8	Pretty Girl (공부하면 더 재밌어)	Clairo		
	9	Mourning	Post Malone		
	10	L'aurora	Eros Ramazzotti		
	11	You Can't Always Get What You Want (Live) (Feat. The Choir of Trinity Wall Street)	The Rolling Stones		
