2021년 1월 30일 토요일
	번호	곡명	가수	설명	
	1	s'Rothe-Zauerli (B기도문)	Ose Schuppel		
	2	Tell Me It's Not Over (타이틀 뮤직)	Starsailor		
	3	All Your Love (Stereo)	John Mayall & The Bluesbreakers		
	4	순이 우주로 (25th Anniv. Ver.)	크라잉넛 (CRYING NUT)		
	5	I'll Be Your Man	James Blunt		
	6	HERE COMES THE SUN	로큰롤라디오 (ROCK N ROLL RADIO)		
	7	This Mess We're In	PJ Harvey		
	8	State of Wonder	inverness, Anthony Russo, 강다니엘 		
	9	Cave Me In	Gallant x Tablo x Eric Nam		
	10	Home	하동균		
	11	Elgar : Serenade For String Orchestra In E Minor Op.20 - I. Allegro Piacevole (엘가 : 현을 위한 세레나데 마단조 작품번호 20 - 1악장)	Daniel Hope		
