2023년 11월 29일 수요일
	번호	곡명	가수	설명	
	1	s'Rothe-Zauerli (B기도문)	Ose Schuppel		
	2	Tell Me It's Not Over (타이틀 뮤직)	Starsailor		
	3	Darkside (feat. Tomine Harket & Au/Ra)	Alan Walker		
	4	끝없는 날개짓 하늘로 (B의 곡)	조용필		
	5	Toi et moi	Paradis		
	6	Halfway Right	LINKIN PARK		
	7	The Marines' Hymn (이스터에그를 찾아라)	God Bless America Players		
	8	The Name Of The Game (이스터에그를 찾아라)	The Fans		
	9	Alone Again	The Weeknd		
	10	BLIND	Alex Sampson		
	11	외롭지 않아	김트리오		
	12	On Reflection (Music From "Black Mirror" TV Series)	Max Richter		
