2024년 1월 21일 일요일
	번호	곡명	가수	설명	
	1	s'Rothe-Zauerli (B기도문)	Ose Schuppel		
	2	Tell Me It's Not Over (타이틀 뮤직)	Starsailor		
	3	Tennessee Whiskey	Chris Stapleton		
	4	눈내리던 겨울밤 (B의 곡)	김현식		
	5	We're All Free / Kage Ni Natte	Matsutoya Yumi		
	6	Perdition Haze	Disarmonia Mundi		
	7	By the Way (삼위일체의 시간)	Red Hot Chili Peppers		
	8	The Zephyr Song (삼위일체의 시간)	Red Hot Chili Peppers		
	9	Can't Stop (삼위일체의 시간)	Red Hot Chili Peppers		
	10	Bye bye my blue	조정희 (Jung-hee Cho)		
	11	Castle Walls (Album Version)	Styx		
