2023년 6월 28일 수요일
	번호	곡명	가수	설명	
	1	s'Rothe-Zauerli (B기도문)	Ose Schuppel		
	2	Tell Me It's Not Over (타이틀 뮤직)	Starsailor		
	3	Sincerely Me (From The “Dear Evan Hansen” Original Motion Picture Soundtrack)	Colton Ryan, Ben Platt, Nik Dodani		
	4	Getaway (B의 곡)	Texas		
	5	Summer Son	Texas		
	6	Hot Summer Nights	Miami Sound Machine		
	7	Lay It on the Line	Triumph		
	8	Kimchi (이스터에그를 찾아라)	Nico Muhly		
	9	The Model (이스터에그를 찾아라)	Kraftwerk		
	10	You & Me	MEUTE		
	11	melt	Josef Salvat		
	12	Mama Don't You Cry	Steelheart		
