2022년 4월 8일 금요일
	번호	곡명	가수	설명	
	1	s'Rothe-Zauerli (B기도문)	Ose Schuppel		
	2	Tell Me It's Not Over (타이틀 뮤직)	Starsailor		
	3	Lights, Camera, Action (Feat. Jinusean & Perry)	양현석		
	4	붉은 눈	문소문		
	5	하루종일 (Band Ver.)	기리보이		
	6	오늘밤은 잠든 후에도 곁에 있어줘	뷰렛		
	7	White Rabbit	Jefferson Airplane		
	8	Break on Through (To the Other Side)	The Doors		
	9	あなたに / Anatani (당신에게)	Tamaki Koji		
	10	I'd Rather	Luther Vandross		
	11	Grow	Samm Henshaw		
	12	Wachet auf, ruft uns die Stimme, BWV 140: IV. Zion hort die Wachter singen	Alessio Bax		
