2023년 11월 7일 화요일
	번호	곡명	가수	설명	
	1	s'Rothe-Zauerli (B기도문)	Ose Schuppel		
	2	Tell Me It's Not Over (타이틀 뮤직)	Starsailor		
	3	Ballad of the Mighty I	Noel Gallagher's High Flying Birds		
	4	Ol' 55 (Live From The Forum, Inglewood, CA, 9/12, 14, 15/2018) (B의 곡)	Eagles		
	5	All Night Radio	Ado		
	6	반추	살롱 드 오수경		
	7	Against All Odds (Take A Look At Me Now) (마음의 소리)	Phil Collins		
	8	Beat laments the world	Nujabes		
	9	Gimme Love	Sia		
	10	Bruch: Scottish Fantasy, Op.46 - 4. Finale (Allegro guerriero)	정경화, Royal Philharmonic Orchestra, Rudolf Kempe		
