2022년 10월 21일 금요일
	번호	곡명	가수	설명	
	1	s'Rothe-Zauerli (B기도문)	Ose Schuppel		
	2	Tell Me It's Not Over (타이틀 뮤직)	Starsailor		
	3	Wait A Minute (CF - 네이트 봉태규편)	Pussycat Dolls		
	4	겨울바다 (With You) (Youngjoo Song)	송영주		
	5	조용한 이별	함중아		
	6	決戰は金曜日 / Kessenwa Kinyoubi (결전은 금요일) (Version of 'The Dynamites')	DREAMS COME TRUE		
	7	You're Gonna Miss Me	The 13th Floor Elevators		
	8	Born To Be Wild (Single Version)	Steppenwolf		
	9	How Many Times Can a Heart Break	Conor Matthews		
	10	미네르바의 올빼미	전유동		
	11	Moldau	Christian Loffler		
