2024년 5월 20일 월요일
	번호	곡명	가수	설명	
	1	s'Rothe-Zauerli (B기도문)	Ose Schuppel		
	2	Tell Me It's Not Over (타이틀 뮤직)	Starsailor		
	3	Paper Aeroplane	Angus & Julia Stone		
	4	Everybody Love (Feat. Musiq Soulchild, Posdnuos) (B의 곡)	Robert Glasper		
	5	Dom andra	Kent		
	6	Pathetic Sight	아침 (achime)		
	7	It's All Coming Back To Me Now (Live at TD Garden, Boston, Massachusetts - 2008) (노래가 긴 게 죄는 아니야)	Celine Dion		
	8	Because You Loved Me (Love Theme from "Up Close And Personal") (Live at TD Garden, Boston, Massachusetts - 2008) (노래가 긴 게 죄는 아니야)	Celine Dion		
	9	To Love You More (Live at TD Garden, Boston, Massachusetts - 2008) (노래가 긴 게 죄는 아니야)	Celine Dion		
	10	Give A Little Whistle	Stacey Kent		
	11	Rollercoaster	Bleachers		
	12	Spring Can Really Hang You Up The Most	문미향		
