2023년 7월 18일 화요일
	번호	곡명	가수	설명	
	1	s'Rothe-Zauerli (B기도문)	Ose Schuppel		
	2	Tell Me It's Not Over (타이틀 뮤직)	Starsailor		
	3	순간을 믿어요	언니네 이발관		
	4	Kerosene! (B의 곡)	Yves Tumor		
	5	Intermission Music (Feat. Jamie Cullum)	Beady Belle		
	6	The Sunshine of Your Youth	Cheerleader		
	7	Earth Song (마음의 소리)	Michael Jackson		
	8	strangers (feat. 유라 (youra))	존박		
	9	Suite de Pelleas et Melisande, Op. 80: III. Sicilienne (Arr. for Cello and Orchestra)	Han Na Chang		
	10	On My Way (Feat. El DeBarge)	PJ Morton		
	11	Schism	Tool		
