2021년 3월 9일 화요일
	번호	곡명	가수	설명	
	1	s'Rothe-Zauerli (B기도문)	Ose Schuppel		
	2	Tell Me It's Not Over (타이틀 뮤직)	Starsailor		
	3	Everything Happens To Me	Wynton Marsalis		
	4	향기로운 추억	Weeper		
	5	Turn It Into Love	Kylie Minogue		
	6	돈이 없어도	뱃사공		
	7	The Saints Are Coming (Live From New Orleans)	U2 & Green Day		
	8	예쁘게 시들어 가고 싶어 너와	나이트오프 (Night Off)		
	9	Queen (파라다이스 시티 Check-in to Fantasy 광고 삽입곡)	Perfume Genius		
	10	Schubert: 4 Impromptus, Op.90, D.899 - No.2 In E Flat Major (Allegro) (Live)	Grigory Sokolov		
