2024년 4월 10일 수요일
	번호	곡명	가수	설명	
	1	s'Rothe-Zauerli (B기도문)	Ose Schuppel		
	2	Tell Me It's Not Over (타이틀 뮤직)	Starsailor		
	3	Let It Go (From "Frozen"/Soundtrack Version)	Idina Menzel		
	4	시간아 멈춰 (Feat. Leellamarz) (B의 곡)	다이나믹 듀오		
	5	Feel Good	Polo & Pan		
	6	Requiem	Polo & Pan		
	7	Minari Suite (이스터에그를 찾아라)	Emile Mosseri		
	8	Let's Live For Today (이스터에그를 찾아라)	The Grass Roots		
	9	Stay	Ari Abdul		
	10	Slim's Return	Madlib		
	11	좋았던 기억만 (Feat. B.I)	Gist		
	12	Isn't This A Lovely Day?	Ella Fitzgerald, Louis Armstrong		
