2023년 2월 17일 금요일
	번호	곡명	가수	설명	
	1	s'Rothe-Zauerli (B기도문)	Ose Schuppel		
	2	Tell Me It's Not Over (타이틀 뮤직)	Starsailor		
	3	Metal Gear Solid Main Theme: The World Needs Only One Big Boss!	Harry Gregson-Williams, Norihiko Hibino		
	4	Don't Care About Me	더 보울스 (The Bowls)		
	5	生きる者 / Ikirumono (사는 사람)	OhashiTrio		
	6	Grapejuice	Harry Styles		
	7	Ketto (공부하면 더 재밌어 '브릿 어워드')	Bonobo		
	8	Patience (공부하면 더 재밌어 '브릿 어워드')	Take That		
	9	Little Girl Blue	Nina Simone		
	10	100년 동안의 진심	언니네 이발관		
	11	Merlin	Kayak		
