2023년 12월 19일 화요일
	번호	곡명	가수	설명	
	1	s'Rothe-Zauerli (B기도문)	Ose Schuppel		
	2	Tell Me It's Not Over (타이틀 뮤직)	Starsailor		
	3	아 대한민국	정수라		
	4	My Love's Leavin' (Feat. Michael McDonald) (B의 곡)	Fourplay		
	5	If I Saw You Again	Pages		
	6	Gospel For A New Century	Yves Tumor		
	7	Killing Me Softly With His Song (마음의 소리)	Roberta Flack		
	8	Empty Chairs (마음의 소리)	Don McLean		
	9	영원(永遠)	서태지와 아이들		
	10	Mendelssohn : Piano Trio No.1 In D Minor Op.49 - I. Molto Allegro E Agitato (멘델스존 : 피아노 3중주 1번 라단조 작품번호 49 - 1악장)	Yo-Yo Ma, Itzhak Perlman, Emanuel Ax		
