2024년 3월 9일 토요일
	번호	곡명	가수	설명	
	1	s'Rothe-Zauerli (B기도문)	Ose Schuppel		
	2	Tell Me It's Not Over (타이틀 뮤직)	Starsailor		
	3	Gratitude	Brandon Lake		
	4	Sad Machine (B의 곡)	Porter Robinson		
	5	紋白蝶／Monshirocho (feat. 石原?也 (Ishihara Shinya) (Saucy Dog))	Tokyo Ska Paradise Orchestra		
	6	Berg & dalvana	Kent		
	7	드보르자크: 교향곡 9번 마단조 작품번호 95, B. 178 '신세계로부터': 4. Allegro con fuoco (빵으로 하시겠습니까 라이스로 하시겠습니까)	Rafael Kubelik, Berliner Philharmoniker		
	8	River	Bishop Briggs		
	9	Interference	Thom Yorke		
	10	Melinda	Stan Getz, Bill Evans		
