2021년 3월 16일 화요일
	번호	곡명	가수	설명	
	1	s'Rothe-Zauerli (B기도문)	Ose Schuppel		
	2	Tell Me It's Not Over (타이틀 뮤직)	Starsailor		
	3	R.Strauss : Also Sprach Zarathustra Op.30 - Prelude (Sonnenaufgang)	Herbert Von Karajan		
	4	Crystal	New Order		
	5	Lover To Lover	Florence + The Machine		
	6	Asunder	이승열		
	7	The Star Spangled Banner (Live From Super Bowl XXV)	Whitney Houston		
	8	Tomorrow Never Came (Feat. Sean Ono Lennon)	Lana Del Rey		
	9	Everybody Knows	Sigrid		
	10	Day That I Die (Feat. Amos Lee)	Zac Brown Band		
