2023년 7월 28일 금요일
	번호	곡명	가수	설명	
	1	s'Rothe-Zauerli (B기도문)	Ose Schuppel		
	2	Tell Me It's Not Over (타이틀 뮤직)	Starsailor		
	3	T.S.O.P. (The Sound Of Philadelphia) (A Tom Moulton Mix) (Feat. The Three Degrees)	MFSB		
	4	그리고 그가슴 텅 비울수 있기를 (B의 곡)	장필순		
	5	Foreign Language	Nothing But Thieves		
	6	Cha Cha Cha	Kaarija		
	7	More, More, More (공부하면 더 재밌어)	Andrea True Connection		
	8	To Mother	이상은 (=Lee-tzsche)		
	9	Who Can I Turn To (When Nobody Needs Me)	Tony Bennett, Queen Latifah		
	10	Three Little Words	Stan Getz		
