2024년 2월 17일 토요일
	번호	곡명	가수	설명	
	1	s'Rothe-Zauerli (B기도문)	Ose Schuppel		
	2	Tell Me It's Not Over (타이틀 뮤직)	Starsailor		
	3	순대국	정원영 밴드		
	4	XS (B의 곡)	Rina Sawayama		
	5	L.O.V.E. (Feat. EARTHGANG, Jon Batiste, Sherwyn)	Yung Bae		
	6	Immortally Insane	Pantera		
	7	라흐마니노프 : 피아노 협주곡 2번 다단조 작품번호 18: 3. Allegro scherzando (빵으로 하시겠습니까 라이스로 하시겠습니까)	Krystian Zimerman, Boston Symphony Orchestra, Ozawa Seiji		
	8	Anchor	Novo Amor		
	9	Almost Like Being In Love (Remastered)	Nat King Cole		
	10	Perfect Strangers	Dream Theater		
