2024년 3월 19일 화요일
	번호	곡명	가수	설명	
	1	s'Rothe-Zauerli (B기도문)	Ose Schuppel		
	2	Tell Me It's Not Over (타이틀 뮤직)	Starsailor		
	3	Little Blue (Feat. Brandi Carlile)	Jacob Collier		
	4	It Can Happen (B의 곡)	Yes		
	5	Strange Things Will Happen	The Radio Dept.		
	6	Tokyo Love Hotel	Rina Sawayama		
	7	Use Somebody (마음의 소리)	Kings Of Leon		
	8	Up Where We Belong (From "An Officer And A Gentleman")	Joe Cocker, Jennifer Warnes		
	9	여왕벌의 행진	사랑과 평화		
	10	Rachmaninoff: Vocalise, Op. 34, No. 14 (Arr. Rose for Cello and Piano)	한재민, Jonathan Ware		
