2023년 1월 20일 금요일
	번호	곡명	가수	설명	
	1	s'Rothe-Zauerli (B기도문)	Ose Schuppel		
	2	Tell Me It's Not Over (타이틀 뮤직)	Starsailor		
	3	Snake Eater	Cynthia Harrell		
	4	Mustang Sally (From "The Commitments" Soundtrack) (Feat. Andrew Strong)	The Commitments		
	5	아름다운 밤을 위해	이은하		
	6	땡스 투 (Thanks to)	DAY6 (Even of Day)		
	7	Bad Penny Blues	Humphrey Lyttelton		
	8	Lady Madonna (Remastered 2009)	The Beatles		
	9	Piece Of My Wish ('내일이 있으니까' 주제가)	Imai Miki		
	10	사랑 그렇게 보내네 (Feat. 김광민)	이문세		
	11	You Are My World (Extended 12" Version) [35 Year Remaster]	The Communards		
