2023년 4월 12일 수요일
	번호	곡명	가수	설명	
	1	s'Rothe-Zauerli (B기도문)	Ose Schuppel		
	2	Tell Me It's Not Over (타이틀 뮤직)	Starsailor		
	3	No Reason	Chemical Brothers		
	4	Where Does Yer Go Now?	Gorky's Zygotic Mynci		
	5	해	장기하		
	6	할건지말건지	장기하		
	7	요새 (feat. So!YoON!)	김도언		
	8	Cha Cha (이스터에그를 찾아라)	Freddie Dredd		
	9	The Terminator Theme (이스터에그를 찾아라)	Brad Fiedel		
	10	Flight Of The Angels	Matsui Keiko		
	11	This Will Be Our Year	The Zombies		
	12	Johanna	Suki Waterhouse		
	13	The Rover (1993 Remaster)	Led Zeppelin		
