2022년 8월 23일 화요일
	번호	곡명	가수	설명	
	1	s'Rothe-Zauerli (B기도문)	Ose Schuppel		
	2	Tell Me It's Not Over (타이틀 뮤직)	Starsailor		
	3	Suddenly (Feat. 박혜경)	조규찬		
	4	Kaldalons: Ave Maria (Arr. Vikingur Olafsson) (Grand Piano)	Vikingur Olafsson		
	5	Soul Drifter	Lindsey Buckingham		
	6	Flower	L'Arc-en-Ciel		
	7	Suddenly I See (영화 '악마는 프라다를 입는다' 삽입)	KT Tunstall		
	8	The Dream Synopsis	The Last Shadow Puppets		
	9	이젠 떠나가세요	동물원 (김광석)		
	10	Canyons	Alexis Ffrench		
	11	Land: Horses/Land Of A Thousand Dances/La Mer (De)	Patti Smith		
