2024년 2월 16일 금요일
	번호	곡명	가수	설명	
	1	s'Rothe-Zauerli (B기도문)	Ose Schuppel		
	2	Tell Me It's Not Over (타이틀 뮤직)	Starsailor		
	3	We Are The World	USA For Africa		
	4	회상 1 (B의 곡)	부활		
	5	Saint Behind the Glass	Los Lobos		
	6	Brand New Day (Live in Dublin / 2022)	Kodaline		
	7	Know Your Enemy (공부하면 더 재밌어)	Rage Against The Machine		
	8	Wake Up (공부하면 더 재밌어)	Rage Against The Machine		
	9	PIMP	Bacao Rhythm & Steel Band		
	10	Where The River Goes	Wolfgang Muthspiel, Ambrose Akinmusire, Brad Mehldau, Larry Grenadier, Eric Harland		
