2023년 5월 3일 수요일
	번호	곡명	가수	설명	
	1	s'Rothe-Zauerli (B기도문)	Ose Schuppel		
	2	Tell Me It's Not Over (타이틀 뮤직)	Starsailor		
	3	The Prince Of Egypt (When You Believe) (From "The Prince Of Egypt" Soundtrack)	Mariah Carey, Whitney Houston		
	4	이건 너무 하잖아요	김정미		
	5	담배꽁초	김정미		
	6	Everyone Acts Crazy Nowadays	Unknown Mortal Orchestra		
	7	자처	한로로		
	8	Yellow Submarine (이스터에그를 찾아라)	The Beatles		
	9	Hamburg Song (이스터에그를 찾아라)	Keane		
	10	Going To A Town	Rufus Wainwright		
	11	If I Didn't Care	The Ink Spots		
	12	Schubert : Impromptu No.3 In G Flat Major Op.90 D.899 (슈베르트 : 즉흥곡 3번 내림 사장조 작품번호 90) (Album Version)	백혜선		
