2024년 1월 29일 월요일
	번호	곡명	가수	설명	
	1	s'Rothe-Zauerli (B기도문)	Ose Schuppel		
	2	Tell Me It's Not Over (타이틀 뮤직)	Starsailor		
	3	We Belong Together	BIGBANG (빅뱅)		
	4	Panopticom (Bright Side Mix) (B의 곡)	Peter Gabriel		
	5	Suzie Chapstick	Green Day		
	6	Dilemma	Green Day		
	7	The Turn Of A Friendly Card (노래가 긴 게 죄는 아니야)	Alan Parsons Project		
	8	Snake Eyes (노래가 긴 게 죄는 아니야)	Alan Parsons Project		
	9	The Ace of Swords (노래가 긴 게 죄는 아니야)	The Alan Parsons Project		
	10	Nothing Left To Lose (노래가 긴 게 죄는 아니야)	Alan Parsons Project		
	11	The Turn Of A Friendly Card Part 2 (노래가 긴 게 죄는 아니야)	Alan Parsons Project		
	12	Pink Island	고희안 하와이 트리오		
