2020년 12월 27일 일요일
	번호	곡명	가수	설명	
	1	s'Rothe-Zauerli (B기도문)	Ose Schuppel		
	2	Tell Me It's Not Over (타이틀 뮤직)	Starsailor		
	3	Attention	Pentatonix		
	4	Empire State Of Mind (Alicia Keys)	Andra Day		
	5	민들레, 민들레	이적		
	6	Comforting Sounds	Mew		
	7	Honoo to Mori no Carnival	SEKAI NO OWARI		
	8	Sea Creatures	Soak		
	9	Glittery (From The Kacey Musgraves Christmas Show) (Feat. Troye Sivan)	Kacey Musgraves		
	10	Chopin : Nocturne No.2 In E Flat Major Op.9-2 (쇼팽 : 야상곡 2번 내림 마장조 작품번호 9-2)	임동혁 (Dong Hyek Lim)		
