2023년 12월 23일 토요일
	번호	곡명	가수	설명	
	1	s'Rothe-Zauerli (B기도문)	Ose Schuppel		
	2	Tell Me It's Not Over (타이틀 뮤직)	Starsailor		
	3	Wild Is the Wind (1999 Remaster)	David Bowie		
	4	약속된 이별 (B의 곡)	박정운		
	5	Have Yourself A Merry Little Christmas	Diana Krall		
	6	We Can Make It Tonight	Toto		
	7	Brahms: 21 Hungarian Dances, WoO 1 - Hungarian Dance No. 5 in G Minor. Allegro (빵으로 하시겠습니까 라이스로 하시겠습니까)	Claudio Abbado, Wiener Philharmoniker		
	8	Bizet : Carmen Act.I - L'amour Est Un Oiseau Rebelle (비제 : 카르멘 1막 - 사랑은 반항하는 새랍니다) (빵으로 하시겠습니까 라이스로 하시겠습니까)	Regine Crespin		
	9	Africa Bamba	Santana		
	10	Someday My Prince Will Come	Keith Jarrett, Gary Peacock, Jack DeJohnette		
