2021년 9월 4일 토요일
	번호	곡명	가수	설명	
	1	s'Rothe-Zauerli (B기도문)	Ose Schuppel		
	2	Tell Me It's Not Over (타이틀 뮤직)	Starsailor		
	3	The Ocean : 불멸에 관하여	넥스트		
	4	Across The Universe Of Time	Hayley Westenra		
	5	Hoy El Aire Huele A Ti	Luis Miguel		
	6	보리차 (feat. 강말금)	천용성		
	7	The Turn Of A Friendly Card (Part One)	The Alan Parsons Project		
	8	Snake Eyes	The Alan Parsons Project		
	9	The Ace of Swords	The Alan Parsons Project		
	10	Nothing Left to Lose	The Alan Parsons Project		
	11	The Turn Of A Friendly Card Part 2	The Alan Parsons Project		
	12	Brahms: Intermezzo In A Major, Op.118, No.2	백건우		
