2024년 1월 20일 토요일
	번호	곡명	가수	설명	
	1	s'Rothe-Zauerli (B기도문)	Ose Schuppel		
	2	Tell Me It's Not Over (타이틀 뮤직)	Starsailor		
	3	I Guess I Just Feel Like	John Mayer		
	4	외침!! (B의 곡)	안치환		
	5	산맥과 파도 (B의 곡)	안치환		
	6	아하! 그렇지	조용필		
	7	I'm Looking For The One (To Be With Me)	DJ Jazzy Jeff & The Fresh Prince		
	8	Schubert: 슈베르트: 마왕, 작품번호 1 - Wer reitet so spat (빵으로 하시겠습니까 라이스로 하시겠습니까)	Dietrich Fischer-Dieskau, Gerald Moore		
	9	Grieg: 그리그: 페르귄트 부수음악 작품번호 23 - 13. 아침 분위기 (빵으로 하시겠습니까 라이스로 하시겠습니까)	Gothenburg Symphony Orchestra, Neeme Jarvi		
	10	오월의 아이	말로		
	11	Go To Sleep (Little Man Being Erased)	Radiohead		
	12	Amore	Sakamoto Ryuichi		
