2023년 11월 8일 수요일
	번호	곡명	가수	설명	
	1	s'Rothe-Zauerli (B기도문)	Ose Schuppel		
	2	Tell Me It's Not Over (타이틀 뮤직)	Starsailor		
	3	What A Pleasure	Beach Fossils		
	4	A Forest (B의 곡)	The Cure		
	5	芒種	音阙诗听, 赵方婧		
	6	Radio	Rammstein		
	7	식빵 굽는 고양이 (이스터에그를 찾아라)	뽀로로		
	8	I'm A Believer (Hikyu!! Second Season Edit) (이스터에그를 찾아라)	SPYAIR		
	9	Best Friend (feat.우원재)	SUMIN (수민)		
	10	Manuel de Falla : La Vida Breve (마누엘 데 파야 : 라 비다 브레베)	박규희, 박주원		
	11	Aspettami	Pink Martini		
	12	The Private Psychedelic Reel	Chemical Brothers		
