2023년 6월 7일 수요일
	번호	곡명	가수	설명	
	1	s'Rothe-Zauerli (B기도문)	Ose Schuppel		
	2	Tell Me It's Not Over (타이틀 뮤직)	Starsailor		
	3	You'll Be In My Heart (From "Tarzan"/Soundtrack Version)	Phil Collins		
	4	비처럼 음악처럼	저드 (jerd)		
	5	들판의 시대	김반장과 생기복덕		
	6	Our Own Summer	검정치마		
	7	Back in the Day (이스터에그를 찾아라)	Christina Aguilera		
	8	Cook Everything (이스터에그를 찾아라)	윤석철		
	9	Diablo Rojo (이스터에그를 찾아라)	Rodrigo Y Gabriela		
	10	All My Days	Alexi Murdoch		
	11	Nature Boy	George Benson		
	12	The Wolves (Act I and II)	Bon Iver		
