2024년 3월 23일 토요일
	번호	곡명	가수	설명	
	1	s'Rothe-Zauerli (B기도문)	Ose Schuppel		
	2	Tell Me It's Not Over (타이틀 뮤직)	Starsailor		
	3	Someone I Used to Know	Loving Caliber		
	4	Man In the Mirror (B의 곡)	Stanley Clarke, Myron Mckinley Trio		
	5	Sweet And Low	Augustana		
	6	화초	강산에		
	7	바흐: 브란덴부르크 협주곡 3번 사장조: 3. Allegro (빵으로 하시겠습니까 라이스로 하시겠습니까)	Hedwig Bilgram, Munchener Bach-Orchester, Karl Richter		
	8	Rinaldo, HWV 7, Act 2: Aria. "Lascia ch'io pianga" (Almirena) (빵으로 하시겠습니까 라이스로 하시겠습니까)	조수미		
	9	It's Only Time	The Magnetic Fields		
	10	Turn Back The Clock	Johnny Hates Jazz		
	11	Welcome to New Orleans	유택언		
