2023년 10월 11일 수요일
	번호	곡명	가수	설명	
	1	s'Rothe-Zauerli (B기도문)	Ose Schuppel		
	2	Tell Me It's Not Over (타이틀 뮤직)	Starsailor		
	3	LOVE. (Feat. Zacari)	Kendrick Lamar		
	4	September Second (Live) (B의 곡)	Michel Petrucciani, Steve Gadd, Anthony Jackson		
	5	무지개 소년	하현우 (국카스텐)		
	6	LADY	Yonezu Kenshi		
	7	Smile (이스터에그를 찾아라)	Gregory Porter		
	8	Jumper (Feat. 개코, MINO) (이스터에그를 찾아라)	코드 쿤스트 (CODE KUNST)		
	9	Dentro	La Bottega Dell'Arte		
	10	너의 기억 끝에서	김범수		
	11	Little Wing	Steve Vai, Yngwie Malmsteen, Joe Satriani		
