2022년 6월 3일 금요일
	번호	곡명	가수	설명	
	1	s'Rothe-Zauerli (B기도문)	Ose Schuppel		
	2	Tell Me It's Not Over (타이틀 뮤직)	Starsailor		
	3	Different World (feat. CORSAK)	Alan Walker, K-391, Sofia Carson		
	4	Ta Main Dans la Mienne	Benjamin Faugloire Project 		
	5	다시, 너	죠지		
	6	5 Years	David Bowie		
	7	Roll Over Beethoven (Remastered 2009)	The Beatles		
	8	Over The Hills And Far Away	Led Zeppelin		
	9	사람들 2019'	정태춘		
	10	Romance for Violin and Orchestra No. 2 in F Major, Op. 50	Mstislav Rostropovich, Maxim Vengerov, London Symphony Orchestra		
