2022년 10월 12일 수요일
	번호	곡명	가수	설명	
	1	s'Rothe-Zauerli (B기도문)	Ose Schuppel		
	2	Tell Me It's Not Over (타이틀 뮤직)	Starsailor		
	3	Praise	이소라		
	4	Paper Bag	Fiona Apple		
	5	Run With The Wolf	Rainbow		
	6	my people	ABTB		
	7	Ridiculous (Feat. LunchMoney Lewis)	Kyrie Irving		
	8	Beethoven : Piano Sonata No.23 In F Minor Op.57 'Appassionata' - III. Allegro Ma Non Troppo (베토벤 : 피아노 소나타 23번 바단조 작품번호 57 '열정' - 3악장)	임동민		
	9	너의 아침은 어때	허클베리핀 (Huckleberryfinn)		
	10	Mercy On Me	Christina Aguilera		
	11	Fall To Fly (Feat. 곽이안)	이승환		
