2023년 3월 22일 수요일
	번호	곡명	가수	설명	
	1	s'Rothe-Zauerli (B기도문)	Ose Schuppel		
	2	Tell Me It's Not Over (타이틀 뮤직)	Starsailor		
	3	Never Give You Up (Feat. Stevie Wonder And CJ)	Raphael Saadiq		
	4	Like Sugar	Chaka Khan		
	5	BAD MODE (Live Version)	Hikaru Utada (우타다 히카루)		
	6	사랑의 쿵쿵따	박지지		
	7	Baseball Theme (이스터에그를 찾아라)	Vince Guaraldi Trio		
	8	Talk Too Much (이스터에그를 찾아라)	COIN		
	9	꽃	이주영		
	10	Fuel to Fire	Agnes Obel		
	11	Mozart : Piano Sonata No.1 In C Major K.279/189d - I. Allegro (모차르트 : 피아노 소나타 1번 다장조 - 1악장)	손열음		
