2021년 8월 27일 금요일
	번호	곡명	가수	설명	
	1	s'Rothe-Zauerli (B기도문)	Ose Schuppel		
	2	Tell Me It's Not Over (타이틀 뮤직)	Starsailor		
	3	Richter: Recomposed By Max Richter: Vivaldi, The Four Seasons - Spring 0	Max Richter		
	4	Richter : Recomposed By Max Richter: Vivaldi, The Four Seasons - Spring 1	Max Richter		
	5	My Baby Just Cares for Me	Ledisi		
	6	Apollonia	Daniel March		
	7	쌤쌤 (SAM SAM)	선우정아		
	8	(I'm Your) Hoochie Coochie Man	Muddy Waters		
	9	기차는 8시에 떠나네	Agnes Baltsa		
	10	'Here's to You (From 'Sacco e Vanzetti') (Feat. Joan Baez)'	Ennio Morricone		
	11	Tornado Of Souls	Megadeth		
