2023년 12월 20일 수요일
	번호	곡명	가수	설명	
	1	s'Rothe-Zauerli (B기도문)	Ose Schuppel		
	2	Tell Me It's Not Over (타이틀 뮤직)	Starsailor		
	3	Intro / Stronger Than Me	Amy Winehouse		
	4	종이연 (B의 곡)	윤도현		
	5	You're On My Mind	Tom Misch		
	6	Find The River	R.E.M.		
	7	스잔 (이스터에그를 찾아라)	김승진		
	8	아기공룡 둘리 (이스터에그를 찾아라)	오승원		
	9	불 꺼진 방 안에서 (feat. 윤석철)	Zion.T		
	10	Life's For The Living (Anniversary Edition)	Passenger, Foy Vance		
	11	The Silver Of The Mine (From "Nostromo" / Remastered 2022)	Ennio Morricone, Lucilla Tumino		
