2021년 1월 20일 수요일
	번호	곡명	가수	설명	
	1	s'Rothe-Zauerli (B기도문)	Ose Schuppel		
	2	Tell Me It's Not Over (타이틀 뮤직)	Starsailor		
	3	How Will I Know	Sam Smith		
	4	TALK ME DOWN	Troye Sivan		
	5	Angel Of The City	Robert Tepper		
	6	Sound And Vision	David Bowie		
	7	Everything Happens to Me	Duke Jordan		
	8	Sleepless Nights (Feat. Phoelix)	Terrace Martin & Robert Glasper & 9th Wonder & Kamasi Washington		
	9	In A Black Out	Hamilton Leithauser, Rostam 		
	10	Bad Blood	Nao		
	11	the fire in your eyes keeps me warm	Powfu		
