2021년 7월 2일 금요일
	번호	곡명	가수	설명	
	1	s'Rothe-Zauerli (B기도문)	Ose Schuppel		
	2	Tell Me It's Not Over (타이틀 뮤직)	Starsailor		
	3	A Little Respect	Erasure		
	4	Island	The Whitest Boy Alive		
	5	Bonfire Heart	James Blunt		
	6	Karma	Joss Stone		
	7	All I Have to Do Is Dream	The Everly Brothers		
	8	Sweet Child O' Mine	Guns N' Roses		
	9	Chopin : 12 Etudes No.12 In C Minor Op.25 'Ocean' - Allegro Molto Con Fuoco (쇼팽 : 12개의 연습곡 12번 다단조 작품번호 25 '대양')	손열음		
	10	Hymn	Moby		
	11	Opening	9와 숫자들		
	12	Myth	Beach House		
