2021년 5월 30일 일요일
	번호	곡명	가수	설명	
	1	s'Rothe-Zauerli (B기도문)	Ose Schuppel		
	2	Tell Me It's Not Over (타이틀 뮤직)	Starsailor		
	3	Schubert : Piano Quintet In A Major Op.114 D.667 'The Trout' - IV. Tema (Andantino) Con Variazioni 1-6 (슈베르트 : 피아노 5중주 가장조 작품번호 114 '송어' - 4악장)	Sviatoslav Richter		
	4	Unsquare Dance	The Dave Brubeck Quartet		
	5	Tonight (I Wish I Was Your Boy)	The 1975		
	6	Surprise!	잔나비		
	7	I Remember Now	Queensryche		
	8	Anarchy-X	Queensryche		
	9	Revolution Calling	Queensryche		
	10	Operation Mindcrime	Queensryche		
	11	Speak	Queensryche		
	12	Leave Before You Love Me	Marshmello, Jonas Brothers		
	13	Wuthering Heights	Angra		
