2020년 12월 25일 금요일
	번호	곡명	가수	설명	
	1	s'Rothe-Zauerli (B기도문)	Ose Schuppel		
	2	Tell Me It's Not Over (타이틀 뮤직)	Starsailor		
	3	Warm on a Christmas Night	HONNE		
	4	O, Holy Night	Clay Aiken		
	5	Happiness	David Benoit & Al Jarreau		
	6	Christmas Is Going To The Dogs	Eels		
	7	God Only Knows	The Beach Boys		
	8	Both Sides Now	Joni Mitchell		
	9	The Magic of Christmas Time	태연 (TAEYEON)		
	10	Christmas Blues	Sabrina Claudio & The Weeknd		
	11	Handel : Messiah HWV.56 - Chorus 'Worthy Is The Lamb'	London Philharmonic Orchestra (지휘: Walter Susskind)		
	12	Handel : Messiah HWV.56 - Chorus 'Amen'	London Philharmonic Orchestra (지휘: Walter Susskind)		
