2022년 6월 22일 수요일
	번호	곡명	가수	설명	
	1	s'Rothe-Zauerli (B기도문)	Ose Schuppel		
	2	Tell Me It's Not Over (타이틀 뮤직)	Starsailor		
	3	All My Loving (Remastered 2009)	The Beatles		
	4	Getting Better	The Beatles		
	5	She Still Leads Me On	Suede		
	6	오늘까지만 (Feat. 서출구, 최현우)	빛과 소금		
	7	Be There (Feat. Bonnie Pink)	OhashiTrio		
	8	Magic (2003 Digital Remaster)	Pilot		
	9	In The Navy	Village People		
	10	아름다운 사람	서유석 		
	11	Sibelius : 13 Pieces Op.76 - II. Etude (시벨리우스 : 13개의 소품 작품번호 76 - 연습곡)	Jian Wang, Göran Söllscher		
	12	잠꼬대 (Feat. 오혁)	Zion.T		
	13	2 Minutes To Midnight (2015 Remaster)	Iron Maiden		
