2022년 12월 24일 토요일
	번호	곡명	가수	설명	
	1	s'Rothe-Zauerli (B기도문)	Ose Schuppel		
	2	Tell Me It's Not Over (타이틀 뮤직)	Starsailor		
	3	Die alone	혁오 (HYUKOH)		
	4	Dvorak : Rondo In G Minor Op.94 B.181 (드보르작 : 론도 사단조 작품번호 94)	Lorin Maazel, Berlin Philharmonic Orchestra, Yo-Yo Ma		
	5	Moonlight In Vermont	Jane Monheit		
	6	Can I Play With Madness	Iron Maiden		
	7	The Messiah Will Come Again (Live)	Gary Moore		
	8	Old Loves Die Hard	Triumvirat		
	9	Never Dreamed You'd Leave In Summer	Stevie Wonder		
	10	Piazzolla : 3 Piezas Breves Para Orquesta De Camara - II. Fuga (Transcr. Bragato for Piano and Strings)	Gidon Kremer, Kremerata Baltica		
	11	Royksopp Forever	Royksopp		
