2021년 3월 23일 화요일
	번호	곡명	가수	설명	
	1	s'Rothe-Zauerli (B기도문)	Ose Schuppel		
	2	Tell Me It's Not Over (타이틀 뮤직)	Starsailor		
	3	Help (Sunset Rollercoaster 落日飛車 Remake)	혁오 (HYUKOH)		
	4	Around The World & Harder Better Faster Stronger (Live) 	Daft Punk		
	5	Gotta Get Thru This (D'N'D Radio Edit)	Daniel Bedingfield		
	6	운전만해 (We Ride)	브레이브걸스		
	7	If You Were A Woman (And I Was A Man)	Bonnie Tyler		
	8	You Give Love A Bad Name	Bon Jovi		
	9	Falling Into Love	Dana Glover		
	10	서울역에서 출발	정밀아		
	11	이유도 없이 나는 섬으로 가네	도마		
