2023년 12월 16일 토요일
	번호	곡명	가수	설명	
	1	s'Rothe-Zauerli (B기도문)	Ose Schuppel		
	2	Tell Me It's Not Over (타이틀 뮤직)	Starsailor		
	3	말달리자	크라잉넛 (CRYING NUT)		
	4	Tempting (B의 곡)	Cosmic Chips		
	5	Plastic Bag	Ed Sheeran		
	6	I am not your ocean anymore	백예린 (Yerin Baek)		
	7	Mascagni: 마스카니: 카발레리아 루스티카나 - 간주곡 (빵으로 하시겠습니까 라이스로 하시겠습니까)	Berliner Philharmoniker, Herbert Von Karajan, Wolfgang Meyer		
	8	Boccherini: 보케리니: 현악 5중주 마장조 작품번호 11-5 - 2. 미뉴에트 (빵으로 하시겠습니까 라이스로 하시겠습니까)	Orpheus Chamber Orchestra		
	9	하룻밤의 꿈	이상우		
	10	Baby, I Love Your Way	HRVY		
	11	타협의비	Noizegarden		
