2024년 1월 28일 일요일
	번호	곡명	가수	설명	
	1	s'Rothe-Zauerli (B기도문)	Ose Schuppel		
	2	Tell Me It's Not Over (타이틀 뮤직)	Starsailor		
	3	Real Life	Duke Dumont, Gorgon City, Naations		
	4	Enter Sandman (B의 곡)	Alessia Cara, The Warning		
	5	A Million Signs	Vividry		
	6	Breakin' All The Rules	Ozzy Osbourne		
	7	Richter: Recomposed By Max Richter: Vivaldi, The Four Seasons - Winter 1 (삼위일체의 시간)	Max Richter, Daniel Hope, Raphael Alpermann, Konzerthaus Kammerorchester Berlin, Andre De Ridder		
	8	Richter: Recomposed By Max Richter: Vivaldi, The Four Seasons - Winter 2 (삼위일체의 시간)	Max Richter, Daniel Hope, Konzerthaus Kammerorchester Berlin, Andre De Ridder		
	9	Richter: Recomposed By Max Richter: Vivaldi, The Four Seasons - Winter 3 (삼위일체의 시간)	Max Richter, Daniel Hope, Konzerthaus Kammerorchester Berlin, Andre De Ridder		
	10	너른 들판	여유와 설빈		
	11	Barrios Mangore : Un Sueno En La Floresta (망고레 : 숲 속의 꿈)	박규희		
